2025-03-23 13:58:09 [background-preinit] INFO  o.h.validator.internal.util.Version -HV000001: Hibernate Validator 8.0.1.Final
2025-03-23 13:58:09 [main] INFO  c.e.project.SbEcomApplication -Starting SbEcomApplication using Java 21.0.5 with PID 18788 (D:\Sprin Com\Ecommerce-application-master\target\classes started by Sidarth in D:\Sprin Com\Ecommerce-application-master)
2025-03-23 13:58:09 [main] INFO  c.e.project.SbEcomApplication -No active profile set, falling back to 1 default profile: "default"
2025-03-23 13:58:11 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-23 13:58:11 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 187 ms. Found 10 JPA repository interfaces.
2025-03-23 13:58:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port 8080 (http)
2025-03-23 13:58:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8080"]
2025-03-23 13:58:13 [main] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2025-03-23 13:58:13 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-03-23 13:58:13 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2025-03-23 13:58:13 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 3280 ms
2025-03-23 13:58:13 [main] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-23 13:58:13 [main] INFO  org.hibernate.Version -HHH000412: Hibernate ORM core version 6.5.3.Final
2025-03-23 13:58:13 [main] INFO  o.h.c.i.RegionFactoryInitiator -HHH000026: Second-level cache disabled
2025-03-23 13:58:14 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo -No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-23 13:58:14 [main] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
